"","NCHALO","MULOZA","NTAJA","MONKEY.BAY","NKHOTAKOTA","RUMPHI","CHILUMBA","NTHALIRE","NSANJE","PHALOMBE","NENO","MANGOCHI","LIWONDE","SANTHE","MKANDA","NTCHISI","NSUNDWE","MITUNDU","MWANSAMBO","CHAMAMA","NKHOMA","MALOMO","KASUNGU","THETE","NGABU","BANGULA","CHIKWAWA","LIMBE","CHIRADZULU","LUNZU","MWANZA","BVUMBWE","LUCHENZA","MISUKU","KARONGA","CHITIPA","MTAKATAKA","NANJIRI","DWANGWA","LIZULU","SALIMA","NAMBUMA","BOWE","MADISI","MPONELA","DOWA","NKHAMENYA","JENDA","LILONGWE","MCHINJI","TSANGANO.TURN.OFF","MZUZU","MZIMBA","MPAMBA","NKHATABAY","CHINTHECHE","NTONDA","NTCHEU","BALAKA","JALI","MIGOWI","ZOMBA","NAMWERA","THONDWE","HEWE","CHATOLOMA","KASIYA","CHIMBIYA","BEMBEKE.TURN.OFF","SHARPEVALEY","MAYAKA","EMBANGWENI"
"201601",201.855,247.36,219.3525,202.17,198.84,208.24,198.035,210.56,251.11,230,270.78,205.51,243.28,202.5,155,197.5,229.59,204.15,211.11,260,137.8,197.5,180.6,180,200.385,200.385,201.855,191.73,250.16,226.015,212,263.3,235.8,131.58,242.94,180.51,228.96,169.09,211.85,211.385,228.96,147.245,197.5,184.655,171.81,171.81,218.525,173.225,220,166.07,140.29,207.65,168.75,152.17,151.27,200.115,185.5,170.54,243.28,199.22,230,199.22,235,199.22,153.185,202.515,177.18,195.425,220,170.54,191.345,199.06
"201602",252.54,270,240.84,263.745,268.92,223.57,258.06,216.42,276.115,270,303.67,297.75,297.33,219.5,219.5,268.92,219.5,243.06,268.92,240,238,254.46,240,223.57,249.91,249.91,252.54,275.45,275.45,279.39,300,241.84,208.23,194.74,216.42,205.93,255.585,227.875,273.31,255.585,250.8,219.5,261.69,240.595,227.875,227.875,287.5,223.41,240,219.5,272.94,225.1,216.665,225.1,214.22,252.01,297.33,248.55,297.33,240.36,270,240.36,297.75,240.36,173.905,269.945,219.5,240.84,255.585,248.55,240.36,211.345
"201603",253.33,255,210.6,284.045,231.47,249.01,213.92,213.92,244.445,255,194.44,268.25,278.23,255,255,276.97,211.48,240.25,231.47,276.97,245.6,276.97,240,240,246.67,246.67,253.33,242.55,250.82,258.05,310.14,242.55,216.135,178.95,213.92,220.82,284.045,228.32,245,284.045,250.71,249.21,276.97,276.97,263.09,250,125,202.765,245,252.105,250,200,212.96,200,220.09,212.38,250,248.985,278.23,220.05,255,220.05,277.5,220.05,170.8,287.88,249.21,222.745,284.045,248.985,220.05,210.77
"201604",229.87,175,158.26,146.85,188.33,236.82,160.64,160.64,229.87,175,138.89,197.095,171.3,130,130,157.13,250,143.28,188.33,157.13,235,157.13,195,155,229.87,229.87,178.3,178.3,178.3,178.3,270.14,178.3,178.3,155.56,160.64,201.63,146.85,250,250,146.85,238.26,157.13,157.13,157.13,157.13,203.565,111.875,148.575,250,177.565,220.35,175,148.575,175,181.28,201.69,160,206.045,171.3,186.66,175,186.66,123.45,186.66,105.39,121.075,250,175.14,146.85,206.045,197.28,148.575
"201605",220.33,208.02,165.3,232.12,220.98,196.93,153.06,183.33,233.33,182.5,138.89,196.88,187.665,195,155,155,172.41,170.43,152.5,155,180.5,155,180,170,220.33,233.33,207.33,207.33,153.01,218.2,219.57,207.33,199.995,125,183.33,188.12,188.93,183.84,180,188.93,201.1,175,155,165,175,175,132.5,151.02,180,157.185,168.4,150,171.75,150,185.15,194.11,180,176.135,187.665,193.075,182.5,193.075,124.22,193.075,105.39,126.43,195,162.83,188.93,176.135,180.32,214.06
"201606",309.41,250,199.24,228.67,221.89,215.505,232.245,205.635,286.67,250,166.685,211.2,210,200,172.62,188.75,163.485,199.25,170,188.75,195.5,188.75,200,227.5,309.41,309.41,259.7,259.7,259.7,259.7,241.21,259.7,259.7,127.885,205.635,193.345,228.67,231.34,231.34,208.05,200.1,212.45,188.75,200.6,212.45,212.45,185,181.02,231.34,205.72,215.38,205,181.82,205,213.805,211.165,220,219.16,220,200,250,200,211.2,200,125,200,190,220.46,208.05,192.5,206.04,153.93
"201607",265.56,277.5,237.41,294.805,185,219.21,246.98,201.11,271.11,277.5,168.46,272.34,260.21,185,202.815,202.65,188.17,210.25,185,202.65,175.5,202.65,190,220,266.97,266.97,272.22,249.5,239.64,239.64,250,249.5,249.5,198.67,201.11,198.67,264.05,238.28,240,264.05,200.175,215.75,202.65,209.2,215.75,215.75,170,203.715,240,202.815,195.45,195,211.11,195,218.35,229,220,219.78,260.21,208.7,277.5,208.7,272.34,208.7,219.21,185,185,215.56,264.05,200,205.12,151.16
"201608",271.11,280,247.99,280.19,189.165,193.98,242.23,218.17,262.95,280,216.11,280.19,261.87,190,207.99,209.45,182.92,202.56,189.165,209.45,178.6,209.45,190,205,272.72,272.72,271.11,290.52,238.25,238.25,265.7,290.52,290.52,163.16,218.17,188.72,280.19,240,240,240.095,218.63,218.63,209.45,214.04,218.63,218.63,200,213.19,240,205.88,215.2,200.3,213.19,200.3,220.85,236.815,250,231.21,261.87,252.17,280,252.17,280.19,252.17,140.33,190,190,215.46,240.095,200,252.17,213.19
"201609",275.42,260,228.55,208.215,195.23,225.63,242.01,218.82,274.44,260,210.5,228.55,200,180,180,200,187.17,205.25,195.23,200,225,200,170,190,274.44,274.44,275.42,237.83,237.83,237.83,266.62,237.83,237.83,163.045,218.82,205.61,206.43,210,207.625,206.43,208.215,210,200,205,210,210,237.05,206.07,207.625,180,200,213.08,206.07,213.08,213.08,245.27,200,219.79,200,244.28,260,244.28,217.01,244.28,176.52,170,180,205.47,206.43,220,244.28,206.07
"201610",239.55,260,256.99,256.99,222.11,226.86,253.47,215.11,239.55,260,251.04,256.99,220,202.5,194.83,202.5,187.16,193.755,222.11,202.5,223,202.5,170,200,239.55,239.55,239.55,239.55,239.55,239.55,269.76,239.55,239.55,215.11,215.11,215.11,198.62,240,240,198.62,240,202.5,202.5,202.5,202.5,221.25,225,207.14,240,194.83,190.38,200,233.27,200,221.3,248.805,220,220,220,226.46,260,226.46,256.99,226.46,178.04,170,187.16,256.99,198.62,220,226.46,183.3
"201612",239.86,239.81,203.6,257.93,235.29,250.07,275.26,268.29,239.86,239.76,250,257.93,257.25,209.78,212.65,195,215.645,227.58,235.29,209.78,241.5,209.78,279.33,250.07,239.86,239.86,239.86,239.86,239.86,239.86,250,239.86,239.86,261.53,261.53,261.53,257.93,249.78,239.73,261.315,241.11,209.78,209.78,209.78,209.78,229.78,312.05,238.29,260,212.65,260.975,235,250.35,209.65,209.65,209.65,257.25,264.7,257.25,239.76,239.76,267.01,257.93,239.76,250.07,279.33,215.645,203.6,261.315,264.7,249.425,238.29
"201701",237.38,200,202.55,225.12,232.03,257.57,298.83,287.02,237.38,200,275.02,225.12,201.22,230,207.63,232.03,180.29,210.13,232.03,207.54,220.5,219.785,207.54,257.57,237.38,237.38,239.88,239.88,239.88,239.88,275.02,239.88,239.88,228.72,287.02,297.48,225.12,238.14,268.875,222.5925,230,230,230,230,230,227.5,220.5,231.17,268.875,207.63,210.6425,210,231.435,213.71,221.09,221.09,201.22,220.065,201.22,200,200,200.61,253.655,200,184.69,207.54,230,200,222.5925,220.065,200.305,231.17
"201702",208.79,200,200.345,218.16,210.09,256.185,252.04,264.585,235.87,200,209.53,218.16,186.225,220,194.94,165,158.335,180.37,210.09,205,170,201.74,189.45,190,208.79,208.79,209.53,209.53,209.53,209.53,209.53,209.53,209.53,231.58,264.585,300.02,218.16,228.775,220,202.1925,220,220,201.74,210.87,220,240,170,210.325,220,194.94,186.225,210,210.325,210,210,221.85,186.225,186.225,186.225,231.76,200,231.76,214.56,231.76,256.185,189.45,220,205.26,202.1925,186.225,231.76,210.325
"201703",212.11,180,183.8,205.65,185,241.66,239.91,275.16,212.11,180,198.67,205.65,162.11,80,184.63,170,140.44,176.3,170,200,140,213.62,191.18,190,212.11,212.11,198.67,198.67,198.67,198.67,198.67,198.67,198.67,275.16,275.16,275.16,205.65,220.05,220,196.07,200,220,213.62,216.81,220,242.53,140,195.31,220,184.63,174.3,221.38,219.69,221.38,221.38,221.38,162.11,186.49,162.11,190.04,180,190.04,195.17,190.04,241.66,191.18,80,183.8,196.07,186.49,190.04,219.69
"201704",165.245,77.5,126.71,198.69,176.39,138.11,213.79,192.44,165.245,77.5,179.62,133.125,150.33,70,88.74,170,147.1,151.845,176.39,122.5,118.5,195,200,130,165.245,165.245,179.62,179.62,179.62,179.62,179.62,179.62,179.62,192.44,192.44,192.44,70,95,113.92,70,165,70,195,195,132.5,245,156.25,171.05,95,88.74,150.54,175,186.265,175,175,175,150.33,150.75,150.33,77.5,77.5,113.915,150.82,77.5,138.11,171.955,70,170.42,70,65,95.7075,186.265
"201705",99.76,70,138.325,208.23,115,131.58,158.93,155.11,111.32,70,125,107.36,126.28,80,90,150,145.72,80.56,150,80,105,119.5,127.285,80,99.76,105.54,99.76,91.3,98.72,98.72,125,98.59,96.785,155.11,155.11,155.11,80,110,114.18,90,100,80,119.5,99.75,80,95,93.75,121.02,110,72,108.39,100,140.82,100,132.45,187.17,126.28,90.5,126.28,62.22,70,62.22,107.36,62.22,65.22,93.74,80,150.37,90,70,63.51,140.82
